source_category,source_name,url,content_type,format,rights_status,recommended_use,notes
Icon Sets — Open,Phosphor Icons,https://phosphoricons.com,"Icon library, 6 weights",SVG/React,MIT License,Trainable and usable,"Excellent presentation icon set. MIT licensed. Full React component library."
Icon Sets — Open,Lucide Icons,https://lucide.dev,"Icon library, consistent stroke",SVG/React,ISC License,Trainable and usable,"Already used in the MVP. Clean, consistent, well-maintained."
Icon Sets — Open,Heroicons,https://heroicons.com,"Icon library by Tailwind team",SVG/React,MIT License,Trainable and usable,"High quality. Two styles: outline and solid."
Icon Sets — Open,Tabler Icons,https://tabler.io/icons,"4900+ SVG icons",SVG/React,MIT License,Trainable and usable,"Large library. MIT licensed. Good variety."
Stock Images — Licensed,Unsplash,https://unsplash.com,"Photography, illustrations",JPEG/PNG,"Unsplash License — free for commercial use, no permission needed",Usable for product output,"Safe for use in generated decks. Credit appreciated but not required. I cannot confirm training rights for AI model training specifically — Unsplash updated terms in 2023."
Stock Images — Licensed,Pexels,https://www.pexels.com,"Photography, video",JPEG/PNG/MP4,"Pexels License — free for commercial use",Usable for product output,"Similar to Unsplash. Safe for deck output. Check current terms for AI training specifically."
Stock Images — Licensed,Pixabay,https://pixabay.com,"Photography, illustrations, vectors",JPEG/PNG/SVG,"Pixabay License — free for commercial use",Usable for product output,"Broad library. Verify current AI training terms."
Stock Video — Licensed,Coverr,https://coverr.co,"Free stock video",MP4,Free for commercial use,Usable for product output,"Good for video scene backgrounds. Smaller library but high quality."
Stock Video — Licensed,Mixkit,https://mixkit.co,"Free stock video, music",MP4/MP3,Free License — commercial use allowed,Usable for product output,"Video and audio. Good for presentation backgrounds and transitions."
Benchmark Datasets,Common Crawl (filtered),https://commoncrawl.org,"Web crawl data",WARC/WET,Open — CC license,Evaluation only,"Massive but noisy. Could be filtered for presentation-related content. I cannot confirm it's appropriate for commercial model training without legal review."
Creative References,It's Nice That,https://www.itsnicethat.com,"Creative industry news and showcases",Web,Editorial — all rights reserved,Reference only,"Excellent for understanding creative culture and visual trends. Not for training."
Creative References,The Drum Creative Works,https://www.thedrum.com/creative-works,"Advertising campaign showcases",Web,Editorial — all rights reserved,Reference only,"Good for campaign structure analysis. Not for training."
Creative References,D&AD Awards Archive,https://www.dandad.org/en/d-ad-awards/,"Award-winning creative work",Web,D&AD — all rights reserved,Reference only,"Gold standard for creative excellence benchmarking. Not for training."
